tool	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 
run set	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
triangle-tireworld_15.yml	false	14399.395321	14400.453574465588	2164.719616	-1	-1	TIMEOUT (false)	14401.098348	14402.081980692223	1655.717888	-1	-1
triangle-tireworld_16.yml	false	14399.565529	14400.692018572241	2354.466816	-1	-1	TIMEOUT (false)	14401.137914	14402.089758533984	1772.740608	-1	-1
triangle-tireworld_17.yml	false	14398.870166	14399.990128006786	2380.214272	-1	-1	TIMEOUT (false)	14401.105433	14402.180979855359	2086.359040	-1	-1
triangle-tireworld_18.yml	false	14398.940401	14399.98963345401	2093.334528	-1	-1	TIMEOUT (false)	14401.120273	14402.08752294071	2130.665472	-1	-1
triangle-tireworld_19.yml	false	14399.333322	14400.408347167075	2664.718336	-1	-1	TIMEOUT (false)	14401.131148	14402.079163383693	2418.864128	-1	-1
triangle-tireworld_21.yml	false	14397.127249	14400.22001692839	3033.513984	-1	-1	TIMEOUT (false)	14401.164578	14402.157450383529	2842.353664	-1	-1
triangle-tireworld_23.yml	false	14399.584544	14400.580052005127	3102.322688	-1	-1	TIMEOUT (false)	14401.225073	14402.180659368634	3414.740992	-1	-1
triangle-tireworld_25.yml	false	14399.433038	14400.471662320197	3047.661568	-1	-1	TIMEOUT (false)	14401.272836	14402.042482305318	3894.009856	-1	-1
triangle-tireworld_26.yml	TIMEOUT (false)	14400.176846	14401.003370840102	3657.400320	-1	-1	OUT OF MEMORY (false)	10091.80876	10092.253790000454	4096.000000	-1	-1
triangle-tireworld_27.yml	false	14398.76755	14400.191279601306	2871.189504	-1	-1	OUT OF MEMORY (false)	4871.669651	4871.739647479728	4096.000000	-1	-1
triangle-tireworld_28.yml	false	14399.458601	14400.536568354815	4010.065920	-1	-1	OUT OF MEMORY (false)	3966.796634	3967.3149949125946	4096.000000	-1	-1
triangle-tireworld_31.yml	TIMEOUT (false)	14400.159951	14401.010773468763	3992.072192	-1	-1	OUT OF MEMORY (false)	2358.905608	2358.773566763848	4096.000000	-1	-1
triangle-tireworld_33.yml	false	14399.704191	14400.65363381803	3783.016448	-1	-1	OUT OF MEMORY (false)	1757.375479	1757.2239273004234	4096.000000	-1	-1
zenotravel_06.yml	TIMEOUT (false)	14401.019484	14402.165554156527	4063.768576	-1	-1	OUT OF MEMORY (false)	1523.203316	1523.042146962136	4096.000000	-1	-1
