,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
3903,tireworld-truck,p38,asp1,asp,True,True,7.56800283305347,1.10546875,False,False,13
3913,tireworld-truck,p60,asp1,asp,True,True,10.05272443499416,1.06640625,False,False,16
3923,tireworld-truck,p40,asp1,asp,True,True,34.25146615598351,117.9765625,False,False,17
3933,tireworld-truck,p67,asp1,asp,True,True,148.1640721540898,111.80859375,False,False,19
3943,tireworld-truck,p61,asp1,asp,True,True,7.46631358191371,1.41015625,False,False,14
3953,tireworld-truck,p71,asp1,asp,True,True,1354.192443457432,169.875,False,False,21
3963,tireworld-truck,p46,asp1,asp,True,True,16.72562926635146,1.1328125,False,False,16
3973,tireworld-truck,p54,asp1,asp,True,True,72.3426775764674,120.5859375,False,False,16
3983,tireworld-truck,p62,asp1,asp,True,True,26.39863300509751,1.015625,False,False,16
3993,tireworld-truck,p32,asp1,asp,True,True,28.05870055221021,1.109375,False,False,15
4003,tireworld-truck,p05,asp1,asp,True,True,2.224778028205037,1.640625,False,False,11
4013,tireworld-truck,p53,asp1,asp,True,True,142.31160144880414,133.93359375,False,False,18
4023,tireworld-truck,p59,asp1,asp,True,True,3.8465732345357537,1.71875,False,False,16
4033,tireworld-truck,p34,asp1,asp,True,True,2.6688585244119167,1.4375,False,False,13
4043,tireworld-truck,p33,asp1,asp,True,True,96.71707727201284,126.80859375,False,False,17
4053,tireworld-truck,p45,asp1,asp,True,True,45.20769965369254,129.93359375,False,False,17
4063,tireworld-truck,p28,asp1,asp,True,True,18.941545981913805,1.03125,False,False,15
4073,tireworld-truck,p43,asp1,asp,True,True,55.41519546601921,129.625,False,False,17
4083,tireworld-truck,p39,asp1,asp,True,True,15.656783366575835,1.5546875,False,False,15
4093,tireworld-truck,p21,asp1,asp,True,True,3.186292284168303,1.08203125,False,False,12
4103,tireworld-truck,p74,asp1,asp,True,True,508.5062594059855,166.4453125,False,False,19
4113,tireworld-truck,p11,asp1,asp,True,True,1.867365743033588,1.4375,False,False,9
4123,tireworld-truck,p55,asp1,asp,True,True,70.1429827073589,129.7890625,False,False,16
4133,tireworld-truck,p51,asp1,asp,True,True,515.0122135607526,136.0546875,False,False,20
4143,tireworld-truck,p31,asp1,asp,True,True,24.796113293617964,1.03125,False,False,15
4153,tireworld-truck,p37,asp1,asp,True,True,4.168632781133056,1.03125,False,False,13
4163,tireworld-truck,p19,asp1,asp,True,True,3.5485574062913656,1.16015625,False,False,14
4173,tireworld-truck,p04,asp1,asp,True,True,1.5720997219905255,0.9375,False,False,11
14,acrobatics,p01,asp2,asp,True,True,1.0057682231999934,1.20703125,False,False,5
24,acrobatics,p03,asp2,asp,True,True,5.0083086946979165,1.2578125,False,False,16
48,acrobatics,p02,asp2,asp,True,True,1.0223455531522632,1.1484375,False,False,8
68,acrobatics,p04,asp2,asp,True,True,3014.090484227054,273.6640625,False,False,32
899,doors,p06,asp2,asp,True,True,14.374462678097188,1.3984375,False,False,15
907,doors,p01,asp2,asp,True,True,1.071949596516788,1.3671875,False,False,5
915,doors,p13,asp2,asp,True,True,3917.281041100621,276.71484375,False,False,29
923,doors,p14,asp2,asp,True,True,5992.092417770997,323.78515625,False,False,31
931,doors,p03,asp2,asp,True,True,1.294403724372387,1.51171875,False,False,9
939,doors,p07,asp2,asp,True,True,35.30218219012022,110.6953125,False,False,17
947,doors,p09,asp2,asp,True,True,266.0961436722428,151.44921875,False,False,21
955,doors,p12,asp2,asp,True,True,1693.5409033335743,235.078125,False,False,27
963,doors,p08,asp2,asp,True,True,87.11157860606909,122.17578125,False,False,19
970,doors,p15,asp2,asp,True,True,8737.310455773957,370.77734375,False,False,33
978,doors,p02,asp2,asp,True,True,1.1442831447348,1.48828125,False,False,7
986,doors,p10,asp2,asp,True,True,532.6554790874943,174.30859375,False,False,23
994,doors,p05,asp2,asp,True,True,4.301871929317713,1.09765625,False,False,13
1002,doors,p11,asp2,asp,True,True,1001.5303630949928,207.38671875,False,False,25
1010,doors,p04,asp2,asp,True,True,1.803083590231836,1.0859375,False,False,11
1331,elevators,p06,asp2,asp,True,True,107.01423153840004,142.9296875,False,False,23
1341,elevators,p01,asp2,asp,True,True,1.84005017997697,1.2421875,False,False,14
1365,elevators,p03,asp2,asp,True,True,3.1004752540029585,1.08203125,False,False,16
1375,elevators,p07,asp2,asp,True,True,103.84954240871592,146.8828125,False,False,23
1418,elevators,p02,asp2,asp,True,True,1.0449854494072497,1.10546875,False,False,9
1435,elevators,p05,asp2,asp,True,True,1.2308256328105929,1.12109375,False,False,12
1452,elevators,p04,asp2,asp,True,True,1.5445634657517076,0.88671875,False,False,14
2720,first-responders-ipc08,p06,asp2,asp,True,True,1.637988341972232,1.30078125,False,False,9
2779,first-responders-ipc08,p03,asp2,asp,True,True,1.1754239480942488,1.28515625,False,False,6
2859,first-responders-ipc08,p07,asp2,asp,True,True,3.206889070104808,1.1640625,False,False,10
2876,first-responders-ipc08,p103,asp2,asp,True,True,10404.130712778307,336.1640625,False,False,14
2914,first-responders-ipc08,p08,asp2,asp,True,True,13.607963571790606,1.25390625,False,False,11
2945,first-responders-ipc08,p02,asp2,asp,True,True,1.129481878131628,1.33203125,False,False,5
2990,first-responders-ipc08,p10,asp2,asp,True,True,247.5307461582124,95.59375,False,False,13
3086,first-responders-ipc08,p05,asp2,asp,True,True,1.210809723008424,1.078125,False,False,8
3117,first-responders-ipc08,p102,asp2,asp,True,True,4.921532255131751,1.0859375,False,False,7
