,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
2045,islands,p57,CASP-Base,asp,True,True,51.86733862943947,331.17578125,False,False,12
2055,islands,p24,CASP-Base,asp,True,True,1.6361652603372931,1.171875,False,False,6
2065,islands,p07,CASP-Base,asp,True,True,1.0321567384526134,1.5078125,False,False,5
2075,islands,p09,CASP-Base,asp,True,True,1.2264338629320264,1.0859375,False,False,5
2085,islands,p23,CASP-Base,asp,True,True,1.6491598365828395,1.47265625,False,False,6
2095,islands,p12,CASP-Base,asp,True,True,1.3502824679017067,1.04296875,False,False,5
2105,islands,p08,CASP-Base,asp,True,True,1.0755188539624214,1.02734375,False,False,5
2115,islands,p15,CASP-Base,asp,True,True,1.2078035110607743,0.890625,False,False,6
2125,islands,p47,CASP-Base,asp,True,True,16.227334324270487,0.89453125,False,False,10
2135,islands,p02,CASP-Base,asp,True,True,0.8966111252084374,1.0703125,False,False,5
2145,islands,p10,CASP-Base,asp,True,True,1.0187611728906631,1.01171875,False,False,5
2155,islands,p38,CASP-Base,asp,True,True,2.936795111745596,0.73046875,False,False,10
2165,islands,p60,CASP-Base,asp,True,True,92.59708556625992,469.85546875,False,False,12
2175,islands,p40,CASP-Base,asp,True,True,5.748875270597637,1.2109375,False,False,10
2185,islands,p46,CASP-Base,asp,True,True,15.857805048115551,1.06640625,False,False,10
2195,islands,p54,CASP-Base,asp,True,True,29.333112913183868,0.99609375,False,False,12
2205,islands,p32,CASP-Base,asp,True,True,3.6869224943220615,0.92578125,False,False,8
2215,islands,p05,CASP-Base,asp,True,True,0.971930974163115,1.06640625,False,False,5
2225,islands,p53,CASP-Base,asp,True,True,24.109814441762865,1.03125,False,False,12
2235,islands,p59,CASP-Base,asp,True,True,74.90126052871346,338.86328125,False,False,12
2245,islands,p34,CASP-Base,asp,True,True,4.182928469032049,0.96875,False,False,8
2255,islands,p33,CASP-Base,asp,True,True,4.201203431002796,1.015625,False,False,8
2265,islands,p45,CASP-Base,asp,True,True,13.123643992468716,0.96875,False,False,10
2275,islands,p28,CASP-Base,asp,True,True,2.107221477665007,0.91015625,False,False,8
2285,islands,p43,CASP-Base,asp,True,True,12.04035619739443,1.578125,False,False,10
2295,islands,p39,CASP-Base,asp,True,True,4.407344685867429,1.078125,False,False,10
2305,islands,p21,CASP-Base,asp,True,True,1.4283318677917125,1.07421875,False,False,6
2315,islands,p11,CASP-Base,asp,True,True,1.236652315594256,1.1875,False,False,5
2325,islands,p55,CASP-Base,asp,True,True,42.243985819630325,138.50390625,False,False,12
2335,islands,p51,CASP-Base,asp,True,True,15.185377468355,0.9296875,False,False,12
2345,islands,p31,CASP-Base,asp,True,True,2.902643298730254,0.77734375,False,False,8
2355,islands,p37,CASP-Base,asp,True,True,1.6160835344344378,1.1875,False,False,10
2365,islands,p19,CASP-Base,asp,True,True,1.1940947696566582,1.484375,False,False,6
2375,islands,p04,CASP-Base,asp,True,True,0.9781706416979432,1.109375,False,False,5
302,miner,p50,CASP-KB,asp,True,True,667.223457837943,2320.4765625,False,False,24
314,miner,p20,CASP-KB,asp,True,True,111.7470421860926,581.2265625,False,False,19
326,miner,p35,CASP-KB,asp,True,True,221.32673754915595,718.9296875,False,False,18
