,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
846,blocksworld-ipc08,p08,paladinus-4h,paladinus,True,True,4.305092507973313,148.63671875,False,False,15
849,blocksworld-ipc08,p08,glucose-4h,fondsat,True,True,25.38863357109949,0.9296875,False,False,13
850,blocksworld-ipc08,p09,minisat-4h,fondsat,True,True,6.102952432818711,1.0859375,False,False,9
851,blocksworld-ipc08,p09,prp-4h,prp,True,True,0.2634987579658627,1.06640625,False,False,10
854,blocksworld-ipc08,p09,paladinus-4h,paladinus,True,True,0.9123996130656452,1.2265625,False,False,9
857,blocksworld-ipc08,p09,glucose-4h,fondsat,True,True,7.015866560861468,0.953125,False,False,9
858,blocksworld-ipc08,p07,minisat-4h,fondsat,True,True,26.68901856662705,1.54296875,False,False,13
859,blocksworld-ipc08,p07,prp-4h,prp,True,True,0.2080404399894178,0.859375,False,False,14
862,blocksworld-ipc08,p07,paladinus-4h,paladinus,True,True,7.176788235083222,246.83984375,False,False,19
865,blocksworld-ipc08,p07,glucose-4h,fondsat,True,True,25.615321727003906,1.25,False,False,13
866,tireworld,p10,minisat-4h,fondsat,True,True,0.6799083189107478,1.0703125,False,False,3
867,tireworld,p10,prp-4h,prp,True,True,0.1768019262235611,0.82421875,False,False,3
869,tireworld,p10,paladinus-4h,paladinus,True,True,0.6763576369266957,0.90625,False,False,2
871,tireworld,p10,glucose-4h,fondsat,True,True,0.6057934951968491,1.65625,False,False,3
872,tireworld,p05,minisat-4h,fondsat,True,True,0.6053676251322031,1.10546875,False,False,5
873,tireworld,p05,prp-4h,prp,True,True,0.1802167708519846,0.7734375,False,False,7
875,tireworld,p05,paladinus-4h,paladinus,True,True,0.6175758349709213,0.69921875,False,False,6
877,tireworld,p05,glucose-4h,fondsat,True,True,0.5539385117590427,1.13671875,False,False,5
878,tireworld,p02,minisat-4h,fondsat,True,True,0.4929861999116838,0.6953125,False,False,3
879,tireworld,p02,prp-4h,prp,True,True,0.1353020791430026,1.125,False,False,3
881,tireworld,p02,paladinus-4h,paladinus,True,True,0.5030342459212989,0.671875,False,False,2
883,tireworld,p02,glucose-4h,fondsat,True,True,0.3743330659344792,1.703125,False,False,3
884,tireworld,p03,minisat-4h,fondsat,True,True,0.626220784150064,1.05859375,False,False,5
885,tireworld,p03,prp-4h,prp,True,True,0.1519415220245719,0.92578125,False,False,6
887,tireworld,p03,paladinus-4h,paladinus,True,True,0.5269253829028457,0.703125,False,False,6
889,tireworld,p03,glucose-4h,fondsat,True,True,0.593868053983897,0.8828125,False,False,5
890,tireworld,p04,minisat-4h,fondsat,True,True,1.997144231107086,1.1015625,False,False,8
891,tireworld,p04,prp-4h,prp,True,True,0.1445690600667148,1.26953125,False,False,11
893,tireworld,p04,paladinus-4h,paladinus,True,True,0.6791752760764211,0.91015625,False,False,13
895,tireworld,p04,glucose-4h,fondsat,True,True,2.806848759297281,1.09765625,False,False,8
896,tireworld,p13,minisat-4h,fondsat,True,True,3.199246334843337,1.04296875,False,False,5
897,tireworld,p13,prp-4h,prp,True,True,0.2093268828466534,0.72265625,False,False,7
899,tireworld,p13,paladinus-4h,paladinus,True,True,1.008938156068325,1.1171875,False,False,6
901,tireworld,p13,glucose-4h,fondsat,True,True,3.0779088540002704,0.98828125,False,False,5
902,tireworld,p14,minisat-4h,fondsat,True,True,17.695395766291767,1.24609375,False,False,11
903,tireworld,p14,prp-4h,prp,True,True,0.2517243309412151,0.890625,False,False,15
905,tireworld,p14,paladinus-4h,paladinus,True,True,1.3008260990027338,63.86328125,False,False,21
907,tireworld,p14,glucose-4h,fondsat,True,True,16.71113282535225,1.3125,False,False,11
908,tireworld,p12,minisat-4h,fondsat,True,True,0.8705197698436677,1.0859375,False,False,3
909,tireworld,p12,prp-4h,prp,True,True,0.1828295239247381,0.91796875,False,False,3
911,tireworld,p12,paladinus-4h,paladinus,True,True,0.7625864271540195,0.73828125,False,False,2
913,tireworld,p12,glucose-4h,fondsat,True,True,1.0507365949451923,1.25390625,False,False,3
914,tireworld,p06,minisat-4h,fondsat,True,True,0.6613662238232791,1.5703125,False,False,5
915,tireworld,p06,prp-4h,prp,True,True,0.1458485019393265,1.28515625,False,False,7
917,tireworld,p06,paladinus-4h,paladinus,True,True,0.6525283039081842,1.20703125,False,False,6
919,tireworld,p06,glucose-4h,fondsat,True,True,0.7777167060412467,1.41015625,False,False,5
920,tireworld,p08,minisat-4h,fondsat,True,True,2.7407552930526435,1.1328125,False,False,8
921,tireworld,p08,prp-4h,prp,True,True,0.1659692949615419,1.08203125,False,False,11
923,tireworld,p08,paladinus-4h,paladinus,True,True,0.8689119860064238,0.2890625,False,False,13
925,tireworld,p08,glucose-4h,fondsat,True,True,2.337298519909382,5.6875,False,False,8
926,tireworld,p07,minisat-4h,fondsat,True,True,2.780128513928503,1.25,False,False,9
927,tireworld,p07,prp-4h,prp,True,True,0.5706860090140253,1.20703125,False,False,53
929,tireworld,p07,paladinus-4h,paladinus,True,True,0.6205825400538743,1.0625,False,False,12
931,tireworld,p07,glucose-4h,fondsat,True,True,2.7105855103582144,1.50390625,False,False,9
934,first-responders-ipc08,p107,prp-4h,prp,True,True,0.5248469051439315,0.703125,False,False,33
943,first-responders-ipc08,p101,minisat-4h,fondsat,True,True,11.884920869022608,1.46875,False,False,4
944,first-responders-ipc08,p101,prp-4h,prp,True,True,0.3247885070741176,0.7890625,False,False,5
948,first-responders-ipc08,p101,paladinus-4h,paladinus,True,True,16.867270258953795,362.7265625,False,False,4
951,first-responders-ipc08,p101,glucose-4h,fondsat,True,True,18.60548966610804,1.02734375,False,False,4
953,first-responders-ipc08,p108,prp-4h,prp,True,True,0.8207594929262996,0.83984375,False,False,31
962,first-responders-ipc08,p17,prp-4h,prp,True,True,0.1917489401530474,0.8671875,False,False,19
