tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
blocksworld-new_16.yml	OUT OF MEMORY (false)	896.373781	896.5103795845062	4096.000000	-1	-1	false	14399.457848	14403.6886401698	1576.947712	14403.096348537132	-1	false	0.430688	0.43833718448877335	39.002112	-1	-1	false	0.490462	0.49934004433453083	38.977536	-1	-1
blocksworld-new_17.yml	OUT OF MEMORY (false)	642.009897	642.0230985693634	4096.000000	-1	-1	TIMEOUT (false)	14400.186553	14401.005386207253	1855.389696	-1	-1	false	0.447762	0.4566019680351019	38.985728	-1	-1	false	0.453989	0.463057067245245	38.985728	-1	-1
blocksworld-new_18.yml	OUT OF MEMORY (false)	583.005067	582.9667535182089	4096.000000	-1	-1	TIMEOUT (false)	14400.183321	14401.004966408014	2189.705216	-1	-1	false	0.443878	0.45617708936333656	38.998016	-1	-1	false	0.441771	0.45032505318522453	38.973440	-1	-1
blocksworld-new_19.yml	OUT OF MEMORY (false)	468.188141	468.0948569793254	4096.000000	-1	-1	TIMEOUT (false)	14400.544351	14401.005247477442	2597.523456	-1	-1	false	0.45465	0.46224924735724926	38.969344	-1	-1	false	0.449722	0.46473683044314384	39.145472	-1	-1
blocksworld-new_2.yml	true	0.5904	0.5989613458514214	47.095808	0.09800816513597965	3	true	0.619363	0.6295556202530861	47.083520	0.09956087358295918	3	false	0.456007	0.46417882293462753	39.161856	-1	-1	false	0.459497	0.4663832187652588	39.010304	-1	-1
blocksworld-new_20.yml	OUT OF MEMORY (false)	379.416996	379.1457981392741	4096.000000	-1	-1	TIMEOUT (false)	14400.470141	14401.005223996937	2958.761984	-1	-1	false	0.453975	0.4625394679605961	38.973440	-1	-1	false	0.453595	0.462543623521924	38.961152	-1	-1
blocksworld-new_21.yml	OUT OF MEMORY (false)	405.487927	405.39021815545857	4096.000000	-1	-1	TIMEOUT (false)	14400.425887	14401.003918653354	3071.672320	-1	-1	false	0.434468	0.44143630005419254	38.965248	-1	-1	false	0.462614	0.47023218870162964	39.165952	-1	-1
blocksworld-new_22.yml	OUT OF MEMORY (false)	348.880429	348.6874748766422	4096.000000	-1	-1	TIMEOUT (false)	14400.482006	14401.004599262029	3494.068224	-1	-1	false	0.465932	0.472309360280633	38.977536	-1	-1	false	0.422156	0.43195444718003273	39.141376	-1	-1
blocksworld-new_23.yml	OUT OF MEMORY (false)	383.365663	383.1823085322976	4096.000000	-1	-1	TIMEOUT (false)	14400.503124	14401.003911780193	3959.783424	-1	-1	false	0.424744	0.4334359299391508	38.985728	-1	-1	false	0.451421	0.4612368792295456	39.006208	-1	-1
blocksworld-new_24.yml	OUT OF MEMORY (false)	314.88012	314.6900051664561	4096.000000	-1	-1	OUT OF MEMORY (false)	8008.46539	8010.811988886446	4096.000000	-1	-1	false	0.445307	0.45305984653532505	39.149568	-1	-1	false	0.453287	0.46122063882648945	38.985728	-1	-1
