instance,sim,num_states,num_threads,cpu_time,time,solve_time,choices,conflicts,restarts,variables,constraints
2,46,30,6,59.438,10.735,9.99,510922,70594,148,67907,352896
3,99,10,6,20.117,4.187,3.21,79564,14847,41,91963,368948
1,28,9,6,2.459,1.111,0.29,5720,1173,6,48290,292269
2,74,31,6,20.683,4.162,3.36,365755,27720,87,72417,379534
1,39,8,1,1.372,1.372,0.63,2428,1294,11,38692,229592
4,18,13,2,1.646,1.201,0.46,6932,2321,9,64635,281998
2,84,31,6,54.615,9.901,9.12,435898,68169,156,72417,379534
1,58,8,8,3.462,1.008,0.42,9290,1766,8,38592,228936
4,33,13,8,3.707,1.146,0.47,29915,1570,7,64635,281998
2,13,31,4,35.61,9.552,8.72,264113,50028,107,72417,379534
3,95,10,6,19.782,4.151,3.15,43177,14607,43,91963,368948
4,52,13,4,2.355,1.153,0.41,6600,1728,9,64635,281998
3,42,9,6,9.183,2.291,1.41,23091,8114,22,75987,301424
4,24,13,6,2.617,1.025,0.33,23704,1935,12,64635,281998
1,2,8,1,1.357,1.357,0.62,2428,1294,11,38692,229592
4,64,14,1,1.934,1.934,0.96,6875,2910,16,74857,329151
1,57,8,6,2.68,1.007,0.35,9314,1548,8,38592,228936
4,32,13,4,3.147,1.352,0.61,64641,2471,11,64635,281998
3,49,9,10,11.803,2.348,1.53,21564,6998,23,75987,301424
1,24,9,10,6.006,1.492,0.75,18461,2890,12,48290,292269
4,6,14,2,2.354,1.62,0.75,73385,5867,30,74042,325498
4,40,13,6,2.872,1.067,0.38,26919,2100,10,64635,281998
3,71,10,6,19.755,4.141,3.15,36966,11469,34,91963,368948
4,79,13,1,1.999,1.999,1.15,41437,3744,18,65381,285370
4,34,14,4,3.427,1.511,0.65,35330,3677,15,74042,325498
2,41,30,10,101.409,14.845,14.17,471801,76060,125,67907,352896
1,61,8,6,2.738,1.011,0.36,21333,1889,9,38592,228936
3,73,9,10,9.803,2.09,1.27,17328,5845,21,75987,301424
4,59,14,10,5.268,1.441,0.65,36996,3200,11,74042,325498
4,49,14,10,5.57,1.493,0.7,87453,2705,11,74042,325498
2,87,31,4,29.984,8.096,7.31,208993,46100,102,72417,379534
1,91,8,8,3.052,0.969,0.37,7803,1784,9,38592,228936
4,74,13,10,3.108,1.058,0.36,11256,1869,8,64635,281998
3,48,10,8,21.277,3.908,2.91,76554,11821,40,91963,368948
2,57,30,1,63.86,63.86,63.01,926909,142955,430,67889,352953
4,46,14,4,3.247,1.467,0.61,36432,3367,13,74042,325498
1,92,8,6,2.193,0.922,0.27,6788,1284,7,38592,228936
1,87,8,1,1.362,1.371,0.62,2428,1294,11,38692,229592
1,44,9,4,3.063,1.381,0.57,6234,2280,11,48290,292269
1,73,9,2,1.853,1.358,0.51,2900,1131,5,48290,292269
4,15,14,2,2.055,1.468,0.6,58994,3828,18,74042,325498
1,72,8,4,1.919,0.99,0.32,4115,1543,6,38592,228936
1,75,9,1,1.327,1.337,0.41,1864,850,5,48410,293019
3,79,9,10,9.065,1.98,1.18,19971,5998,22,75987,301424
2,20,31,8,28.081,4.629,3.91,334112,29283,84,72417,379534
4,85,14,1,1.961,1.961,0.95,6875,2910,16,74857,329151
1,57,9,2,3.472,2.171,1.31,5378,2836,10,48290,292269
3,46,10,4,23.009,6.594,5.52,56856,15248,40,91963,368948
2,41,31,2,39.583,20.208,19.42,645396,80368,226,72417,379534
4,55,14,4,3.279,1.479,0.61,41782,3303,15,74042,325498
1,55,8,10,3.454,1,0.41,7316,1865,7,38592,228936
4,6,13,1,2.018,2.018,1.16,41437,3744,18,65381,285370
4,76,14,6,3.601,1.268,0.48,46204,3940,21,74042,325498
3,56,10,4,12.94,4.049,2.99,26655,12765,32,91963,368948
2,96,30,1,63.911,63.911,63.02,926909,142955,430,67889,352953
1,78,8,2,1.636,1.165,0.48,2538,1156,5,38592,228936
2,97,31,1,47.179,47.294,46.4,840718,108940,317,72399,379593
2,61,30,6,55.618,10.057,9.31,435345,68669,152,67907,352896
1,39,9,6,3.079,1.187,0.39,21006,1826,10,48290,292269
1,12,9,8,4.885,1.352,0.61,19706,2781,11,48290,292269
1,96,9,6,3.971,1.365,0.54,18382,2738,13,48290,292269
2,92,30,8,39.12,6.177,5.49,246043,32737,73,67907,352896
4,59,14,2,1.795,1.342,0.47,27173,2698,9,74042,325498
2,91,30,6,46.759,8.536,7.8,432584,60379,131,67907,352896
3,86,9,1,3.866,3.867,2.89,9306,5450,29,76110,307683
1,72,8,10,3.363,0.99,0.4,8370,1729,8,38592,228936
1,26,9,10,4.522,1.312,0.57,9745,2134,11,48290,292269
2,45,30,6,57.136,10.326,9.58,550082,68094,144,67907,352896
1,40,8,2,1.683,1.19,0.51,2513,1117,5,38592,228936
2,32,30,1,64.551,64.552,63.66,926909,142955,430,67889,352953
3,8,10,1,9.122,9.122,7.91,33761,13471,62,92122,376763
2,0,31,1,47.822,47.824,46.91,840718,108940,317,72399,379593
2,59,30,10,72.196,10.574,9.9,340783,58972,96,67907,352896
1,64,8,2,1.703,1.198,0.52,2856,1189,5,38592,228936
4,98,13,2,1.559,1.185,0.4,8289,2089,7,64635,281998
1,56,8,4,2.404,1.093,0.44,4496,1659,9,38592,228936
1,27,8,1,1.434,1.434,0.64,2428,1294,11,38692,229592
3,8,9,6,13.131,2.975,2.1,127685,7615,32,75987,301424
4,16,13,2,1.367,1.06,0.32,4100,1624,7,64635,281998
2,39,31,10,39.372,6.104,5.37,311158,32848,78,72417,379534
1,92,9,4,2.87,1.323,0.52,7475,2190,9,48290,292269
1,6,9,2,2.419,1.638,0.79,3815,1736,6,48290,292269
4,25,14,10,4.468,1.353,0.55,44910,2586,11,74042,325498
4,11,14,4,3.231,1.47,0.6,21232,3088,14,74042,325498
4,19,13,10,3.13,1.071,0.38,10762,1617,8,64635,281998
4,42,13,6,2.216,0.95,0.27,8760,1350,6,64635,281998
3,90,9,1,3.91,3.91,2.92,9306,5450,29,76110,307683
2,25,31,8,42.759,6.978,6.24,506403,36017,91,72417,379534
1,14,9,10,4.08,1.22,0.48,11726,1806,7,48290,292269
4,79,13,6,2.923,1.074,0.38,29966,2400,13,64635,281998
4,36,13,8,3.492,1.101,0.42,10801,1979,9,64635,281998
2,42,30,2,77.695,39.244,38.5,915000,149561,328,67907,352896
1,89,8,10,3.577,1.023,0.43,5612,1641,7,38592,228936
3,15,10,4,15.941,4.801,3.73,82294,15922,36,91963,368948
2,60,30,6,65.462,11.769,11.03,560321,76987,160,67907,352896
4,27,13,1,2.005,2.005,1.16,41437,3744,18,65381,285370
2,43,30,10,56.651,8.544,7.87,389337,53490,112,67907,352896
