scenario,instance,solver,total-time,ground-time,solve-time,iteration
acrobatics,p05,fondsat-minisat,7134.492467,15.082359,7119.410108,32
acrobatics,p05,fondsat-minisat,9628.710517,24.831565,9603.878952,33
acrobatics,p05,fondsat-minisat,7799.361812,18.247509,7781.114303,34
acrobatics,p05,fondsat-minisat,12464.474463999999,14.988472,12449.485992,35
acrobatics,p05,fondsat-minisat,9847.311839000002,14.745183,9832.566656,36
acrobatics,p05,fondsat-minisat,21800.112971,16.496042,21783.616929,37
acrobatics,p05,asp-opt-4,38.321,23.101,15.22,30
acrobatics,p05,asp-opt-4,39.23,23.749999999999996,15.48,28
acrobatics,p05,asp-opt-4,29.974,20.214,9.76,26
acrobatics,p05,asp-opt-4,0.235,0.22499999999999998,0.01,2
acrobatics,p05,asp-opt-4,113.536,38.57600000000001,74.96,38
acrobatics,p05,asp-opt-4,26.828,18.768,8.06,24
acrobatics,p05,asp-opt-4,1782.809,70.69900000000007,1712.11,47
acrobatics,p05,asp-opt-4,914.334,42.573999999999955,871.76,43
acrobatics,p05,asp-opt-4,3.72,3.47,0.25,10
acrobatics,p05,asp-opt-4,84.048,36.348,47.7,36
acrobatics,p05,asp-opt-4,10.174,8.134,2.04,17
acrobatics,p05,asp-opt-4,4.23,3.5300000000000002,0.7,11
acrobatics,p05,asp-opt-4,4.397,3.777,0.62,12
acrobatics,p05,asp-opt-4,8.509,6.9990000000000006,1.51,16
acrobatics,p05,asp-opt-4,0.534,0.514,0.02,4
acrobatics,p05,asp-opt-4,12.073,9.633000000000001,2.44,19
acrobatics,p05,asp-opt-4,1480.439,64.69900000000007,1415.74,46
acrobatics,p05,asp-opt-4,56.938,33.038000000000004,23.9,34
acrobatics,p05,asp-opt-4,152.286,47.176,105.11,39
acrobatics,p05,asp-opt-4,1.346,1.286,0.06,7
acrobatics,p05,asp-opt-4,926.635,43.27499999999998,883.36,44
acrobatics,p05,asp-opt-4,1140.766,63.05600000000004,1077.71,45
acrobatics,p05,asp-opt-4,28.808,18.788,10.02,27
acrobatics,p05,asp-opt-4,77.507,30.657000000000004,46.85,33
acrobatics,p05,asp-opt-4,6559.172,69.30199999999968,6489.87,51
acrobatics,p05,asp-opt-4,2.51,2.19,0.32,9
acrobatics,p05,asp-opt-4,4407.152,72.90200000000004,4334.25,49
acrobatics,p05,asp-opt-4,19.723,13.873,5.85,22
acrobatics,p05,asp-opt-4,6.64,5.34,1.3,14
acrobatics,p05,asp-opt-4,536.923,44.363,492.56,42
acrobatics,p05,asp-opt-4,0.741,0.691,0.05,5
acrobatics,p05,asp-opt-4,7.043,5.703,1.34,15
acrobatics,p05,asp-opt-4,0.123,0.123,0.0,1
acrobatics,p05,asp-opt-4,4250.775,79.90499999999975,4170.87,48
acrobatics,p05,asp-opt-4,49.722,31.122,18.6,32
acrobatics,p05,asp-opt-4,1.073,1.023,0.05,6
acrobatics,p05,asp-opt-4,69.102,32.612,36.49,35
acrobatics,p05,asp-opt-4,508.523,41.233000000000004,467.29,41
acrobatics,p05,asp-opt-4,11.168,8.468,2.7,18
acrobatics,p05,asp-opt-4,35.186,22.386,12.8,29
acrobatics,p05,asp-opt-4,5153.09,75.76000000000022,5077.33,50
acrobatics,p05,asp-opt-4,9930.883,83.45299999999952,9847.43,53
acrobatics,p05,asp-opt-4,13.596,11.236,2.36,20
acrobatics,p05,asp-opt-4,17.03,12.38,4.65,21
acrobatics,p05,asp-opt-4,89.74,37.71999999999999,52.02,37
acrobatics,p05,asp-opt-4,0.37,0.36,0.01,3
acrobatics,p05,asp-opt-4,13757.519,82.5590000000011,13674.96,55
acrobatics,p05,asp-opt-4,205.811,48.730999999999995,157.08,40
acrobatics,p05,asp-opt-4,22.57,14.44,8.13,23
acrobatics,p05,asp-opt-4,24.226,16.146,8.08,25
acrobatics,p05,asp-opt-4,1.814,1.6840000000000002,0.13,8
acrobatics,p05,asp-opt-4,47.621,28.881000000000004,18.74,31
acrobatics,p05,asp-opt-4,12720.388,82.12800000000061,12638.26,54
acrobatics,p05,asp-opt-4,5.868,4.808,1.06,13
acrobatics,p05,asp-opt-4,7690.024,84.13400000000001,7605.89,52
acrobatics,p05,asp-1,498.186,45.226,452.96,30
acrobatics,p05,asp-1,598.214,38.61400000000003,559.6,28
